id,date,user,pc,file_tree,activity
{L9V3-L9QQ12AR-8178AMQP},01-02-2010 06:49,HFB0003,PC-0124,R:\;R:\HFB0003,Connect
{S4U9-U2YH68WY-6502SVJJ},01-02-2010 07:07,RTR1463,PC-8503,R:\;R:\RTR1463,Connect
{Z4J0-N8PU78RC-2556JIVL},01-02-2010 07:20,RTR1463,PC-8503,,Disconnect
{P2Q2-I9RC42RE-1020TUTQ},01-02-2010 07:32,JJF3233,PC-5293,R:\;R:\JJF3233,Connect
{T6E2-K1GB18RX-5364VNJV},01-02-2010 07:34,HFB0003,PC-0124,,Disconnect
{P2Z6-P1XU05LL-5049XALX},01-02-2010 07:34,CYR2947,PC-5538,R:\;R:\46j4627;R:\75sS5W2;R:\895zK59;R:\96Z8lQ4;R:\CYR2947,Connect
{N0V0-Z1WA65DN-3636QUOS},01-02-2010 07:40,CYR2947,PC-5538,,Disconnect
{S7X9-F4IH22OV-1304RNTW},01-02-2010 07:41,SBB1748,PC-3684,R:\;R:\898RwH8;R:\SBB1748,Connect
{I1T0-H7YO03KR-1159TGVD},01-02-2010 07:42,MAR1422,PC-1050,R:\;R:\MAR1422,Connect
{V6U4-Q3KP82VA-7934AYXJ},01-02-2010 07:45,SBB1748,PC-3684,,Disconnect
{R4G9-C9FV17GP-0933MHFT},01-02-2010 07:48,ECH3561,PC-3694,R:\;R:\27XKf61;R:\ECH3561,Connect
{L3D2-O2OB99JJ-7370ABTK},01-02-2010 07:48,JJF3233,PC-5293,,Disconnect
{Y3F8-J6RT47QX-1971NZVE},01-02-2010 07:50,STH2849,PC-2145,R:\;R:\62c4xX4;R:\747ZN79;R:\STH2849,Connect
{I5I0-F0AB63QY-3895ETWZ},01-02-2010 07:51,SBB1748,PC-3684,R:\;R:\898RwH8;R:\SBB1748,Connect
{R8H4-K2TP35EA-0619NMPG},01-02-2010 07:56,MAR1422,PC-1050,,Disconnect
{M7J1-B5HY25TK-1378RLOP},01-02-2010 07:59,UWC1584,PC-3101,R:\;R:\591DGx8;R:\88x4Sg4;R:\UWC1584,Connect
{G9Y2-M6BW82WG-3668GMTF},01-02-2010 08:01,ORL3995,PC-6988,R:\;R:\13H4g35;R:\799Tc39;R:\811Km19;R:\ORL3995,Connect
{Y3P7-R6AT36PT-5265GDTC},01-02-2010 08:02,HCB3101,PC-4319,R:\;R:\61DwK61;R:\HCB3101,Connect
{W9D6-A9RG25DQ-4363SWMQ},01-02-2010 08:03,UWC1584,PC-3101,,Disconnect
{S0F1-J1VL79YZ-6128CHMS},01-02-2010 08:03,ORL3995,PC-6988,,Disconnect
{F4R1-W0BH14CO-6199JHXL},01-02-2010 08:04,DIE1614,PC-1213,R:\;R:\29X36B6;R:\32p1fP4;R:\34czZ41;R:\DIE1614,Connect
{X2H5-P0IS26VH-0872GLWV},01-02-2010 08:04,CAH0440,PC-7210,R:\;R:\42mzCW0;R:\56HXGv0;R:\96c6Gh4;R:\99s3QR4;R:\CAH0440,Connect
{G8G8-B7TP86ZL-2242FVSP},01-02-2010 08:05,ORL3995,PC-6988,R:\;R:\13H4g35;R:\799Tc39;R:\811Km19;R:\ORL3995,Connect
{C9H7-P0RL22GB-8265YMGS},01-02-2010 08:06,DTR1323,PC-4277,R:\;R:\57Kq893;R:\95Lf5X2;R:\DTR1323,Connect
{R9Q6-L7FC87UG-2903LTRA},01-02-2010 08:07,STH2849,PC-2145,,Disconnect
{V7B7-J8GO73TJ-6808KXGZ},01-02-2010 08:09,APM1561,PC-2650,R:\;R:\13t13V6;R:\49cGB81;R:\69s7C55;R:\92yqD31;R:\APM1561,Connect
{N6J1-H1NS22OH-1031SPBZ},01-02-2010 08:11,ORL3995,PC-6988,,Disconnect
{B6L5-O2NH61RH-1910PYCB},01-02-2010 08:13,DIE1614,PC-1213,,Disconnect
{K5Q6-O7RV71PI-0906BIRZ},01-02-2010 08:14,SBB1748,PC-3684,,Disconnect
{C8W4-O0NN76MR-7915WYEQ},01-02-2010 08:16,MAR1422,PC-1050,R:\;R:\MAR1422,Connect
{I1H1-B4SM94LI-5107CRUH},01-02-2010 08:18,RTR1463,PC-8503,R:\;R:\RTR1463,Connect
{I5L5-F4TY21PB-0196JKET},01-02-2010 08:18,MAR1422,PC-1050,,Disconnect
{I5E2-N6HP68BS-1597IXGN},01-02-2010 08:19,UWC1584,PC-3101,R:\;R:\591DGx8;R:\88x4Sg4;R:\UWC1584,Connect
{Q3O4-N1FZ10FE-1314QTRP},01-02-2010 08:20,BLF0313,PC-7752,R:\;R:\97yt163;R:\BLF0313,Connect
{I0M8-Y7AG83TB-1936RAEA},01-02-2010 08:20,JCL2626,PC-9929,R:\;R:\14GT3L2;R:\21r19h6;R:\JCL2626,Connect
{L6M6-Z2OH14ML-2069EWIE},01-02-2010 08:21,UWC1584,PC-3101,,Disconnect
{B7Q5-X3GW17OY-8905DDSO},01-02-2010 08:21,APM1561,PC-2650,,Disconnect
{O9Y6-Y4EL49CU-4309CXUM},01-02-2010 08:22,ORL3995,PC-6988,R:\;R:\13H4g35;R:\799Tc39;R:\811Km19;R:\ORL3995,Connect
{Z1L9-C2PI12SN-6806IDXJ},01-02-2010 08:22,APM1561,PC-2650,R:\;R:\13t13V6;R:\49cGB81;R:\69s7C55;R:\92yqD31;R:\APM1561,Connect
{Z7K2-Z0BE32OB-2603DECZ},01-02-2010 08:22,RTR1463,PC-8503,,Disconnect
{R0Y2-L3LB71DP-1309HWDV},01-02-2010 08:25,RTR1463,PC-8503,R:\;R:\RTR1463,Connect
