"id","date","user","pc","filename","activity","to_removable_media","from_removable_media","content"
"{O7D0-M4AX42YS-1736ZAWB}","01/02/2010 07:06:23","HFB0003","PC-0124","R:\WA7JS74S.doc","File Write","True","False","D0-CF-11-E0-A1-B1-1A-E1 Written by Lambert while in Paris and Blois, they continue his philosophical musings and describe his love for Pauline. In 1815, Lambert graduates at the age of eighteen and lives for three years in Paris. Pauline shares a series of statements her lover had dictated, and Lambert dies on 25 September 1824 at the age of twenty-eight."
"{B2M3-D1LA97KK-2097MXRV}","01/02/2010 07:08:40","SIH1756","PC-0888","C:\NNRLO4IA.pdf","File Open","False","False","25-50-44-46-2D James employed his father's advertising techniques to create splashy ads featuring prices that annoyed his competitors so much that they referred to them as ""cutthroat"". These units played special 16 2/3 rpm records or 45 rpm records, however they tended to skip whenever the vehicle hit a bump in the road, and attempts to alleviate this by increasing the pressure on the arm caused discs to wear out prematurely. Before Muntz developed the Stereo-Pak, the only in-car units capable of recorded playback were gramophone-based players, such as the Highway Hi-Fi invented by Peter Goldmark. The Jet was featured on the cover of the September 1951 issue of Popular Science along with a Jaguar and an MG. The sets worked well in metropolitan areas that were close to television transmission towers where signals were strong."
"{E2B4-F5RP55XP-6563TKGR}","01/02/2010 07:14:27","RTR1463","PC-8503","R:\35G3495E.pdf","File Open","False","True","25-50-44-46-2D Since the construction of the freeway the number of visitors to the swell has increased significantly, as the swell can now be accessed by automobile. West of Green River a ""northern route"" would extend the railroad towards Ogden, Utah, there connecting with the established Overland Route. In the Sevier Valley, I-70 was built parallel to U.S. Route 89. In 1977, Utah renumbered its state routes so that the legislative and signed numbers would match. Previously these were isolated farming communities, whose residents felt they were unaccustomed to the crime and other effects that a transcontinental highway can bring."
"{U9J8-K3ME22MG-2698YWMV}","01/02/2010 07:20:26","HFB0003","PC-0124","R:\3MY2E9W1.txt","File Write","True","False","4C-30-33-37 In November 1985 Steve McRae, who had succeeded Jones a year earlier, was sacked and replaced by Chris Kinnear. The club's crest contains a stylised representation of the town's two most famous landmarks, Dover Castle and the white cliffs, enclosed in a circle bearing the club's name. The club then appointed former England international Peter Taylor as manager, but he was unable to steer the team away from the foot of the table, and Dover held onto their place in the Conference only because Northern Premier League runners-up Boston United failed to submit their application for promotion before the required deadline. In the 2009-10 season, Dover reached the play-offs for promotion to the Conference National, but lost at the semi-final stage to Woking. In Dover's first season back in the Southern League Premier Division the Whites finished in third place, albeit 17 points adrift of Tamworth, who claimed the one promotion place available that season."
"{Q7I3-N5KN54US-9435KDLV}","01/02/2010 07:20:27","RTR1463","PC-8503","R:\STYECT2Q.doc","File Copy","False","True","D0-CF-11-E0-A1-B1-1A-E1 He was arrested by the Ministry of Public Security and interrogated by both, Romkowski and Fejgin on Soviet orders. The Catholic Church, while protesting against police violence against demonstrating students, was also not willing to support a direct confrontation with the regime. When the results were released, a political earthquake followed. This massive borrowing, estimated to have totaled US$10 billion, was used to re-equip and modernize Polish industry, and to import consumer goods to give the workers more incentive to work."
"{T9W6-C6KX09PU-9909CVEY}","01/02/2010 07:25:36","HFB0003","PC-0124","R:\OF2QWRCN.pdf","File Write","True","False","25-50-44-46-2D The Congressional repudiation complicated an attempted prisoner exchange in 1781 involving Burgoyne and Henry Laurens, a Congressman from South Carolina whom the British were holding in the Tower of London; Laurens was eventually freed in exchange for a promise to help negotiate Lord Cornwallis's release. The Indian agent Lorimier traveled west to Oswegatchie, where a company of the 8th Regiment of Foot under the command of George Forster had occupied Fort de La Presentation. He removed both Bedel and Butterfield from command and sent them to Sorel for court-martial. On May 15, Colonel Bedel left The Cedars, leaving Lieutenant Butterfield in charge of the fort."
"{V0P9-Q7MD24TX-8045LLSK}","01/02/2010 07:25:50","SBB1748","PC-3684","C:\W6KOPG8Y.doc","File Open","False","False","D0-CF-11-E0-A1-B1-1A-E1 While Trott did not take a wicket in the Tests, he took 38 wickets in all first-class matches that season. Until 2005, Trott's club team, South Melbourne Cricket Club was based at Harry Trott Oval in Albert Park, while Bendigo United Cricket Club, for whom Trott played in 1902, still play at the Harry Trott Oval in the Bendigo suburb of Kennington."
"{I8V8-U6JT65DI-2609RBGG}","01/02/2010 07:27:05","HFB0003","PC-0124","R:\34XP1GLW.doc","File Delete","False","True","D0-CF-11-E0-A1-B1-1A-E1 The Paulinskill Valley Trail-a network of trails along abandoned railroad beds of the New York, Susquehanna and Western Railroad-have been transformed and maintained for hiking, horseback riding, and other recreational uses, stretches for {convert|27|mi} from Sparta Junction in Sussex County to Columbia in Warren County, roughly following the entire length of the river. The Paulins Kill watershed is home to a variety of other animals."
"{Q6J1-B7BE12IQ-4517FGSY}","01/02/2010 07:28:01","GCM1217","PC-9728","C:\62WKh31\A5MCZC1L.pdf","File Open","False","False","25-50-44-46-2D The buildings are two storeys high, with dormers above. Peter Sager, too, thought that the ""high-rise library"" could ""easily stand on the Hudson"". There are two quadrangles, with steps leading down from the upper quadrangle (to the east) to the lower quadrangle (to the west). At that time, Harrison had never worked in Britain: although he had qualified in Britain, he had practised in Greece and Palestine; Indeed the college seems to have been his only project in the country, and remains his best known work, along with his later University of Ghana."
"{F7S0-B3GR09GR-6518OLMS}","01/02/2010 07:33:51","JJF3233","PC-5293","R:\OMAL5JNO.doc","File Delete","False","True","D0-CF-11-E0-A1-B1-1A-E1 The subsequent trials resulted in 78 men being convicted and sentenced to jail terms ranging between five and twenty years. They aimed to promote violent revolution as a means of gaining independence for Vietnam from French colonisation, and published books and brochures about Sun Yat-sen and the Chinese Revolution of 1911, as well as opening a free school to teach quoc ngu (Romanised Vietnamese script) to the working class."
"{Z1P8-C4EA73JL-2166XSCR}","01/02/2010 07:35:49","JJF3233","PC-5293","R:\JJF3233\5VTGBT5X.zip","File Copy","False","True","50-4B-03-04-14 Upon his release in 1933, Nghiep consolidated the party with similar groups in the area, including some followers of Phan Boi Chau who had formed a Canton-based organisation with similar aims in 1925. Vietnam was occupied by Japan during World War II and, in the chaos that followed the Japanese surrender in 1945, the VNQDD and the ICP briefly joined forces in the fight for Vietnamese independence."
"{M0P6-K9AP05JR-1182ABON}","01/02/2010 07:36:02","CYR2947","PC-5538","R:\46j4627\XEVR9TJI.pdf","File Write","True","False","25-50-44-46-2D Bass guitarist, vocalist, and primary composer Roger Waters also planned to record a small amount of new material for the album, further expanding The Wall's narrative. From left to right the medals are the 1939-45 Star, the Africa Star, the Defence Medal, and the Distinguished Flying Cross. In ""One of the Few"", another rejected song, the schoolteacher from The Wall features as the main character, presented as a war hero returned to civilian life. Recording took place in the latter half of 1982, using eight studios, including Gilmour's home studio at Hookend Manor, and Waters' Billiard Room Studios at East Sheen. Losing his temper, he demanded to know what Kamen was doing, only to find that the pianist had been writing ""I Must Not Fuck Sheep"" repeatedly."
"{Z6F5-V9WA50YE-0265EOVU}","01/02/2010 07:37:33","JJF3233","PC-5293","C:\78Vk243\E8EH5O2E.txt","File Open","False","False","58-39-39-43 Back at the vacation home, Carmela and Tony leave for home and Bobby sets off for Montreal, where the man he agreed to murder lives. The next day, the couples seem to make amends, but as the day progresses Tony increasingly obsesses over losing the fight to Bobby. Gregory Antonacci, who plays Phil Leotardo's advisor Butch DeConcini on the show, is now billed in the opening credits. The episode was submitted for consideration in the category of Outstanding Drama Series."
"{S3N0-H6LC62LW-2819YWLO}","01/02/2010 07:39:11","JJF3233","PC-5293","C:\48LR843\SCF00Z3B.pdf","File Open","False","False","25-50-44-46-2D Abundances on Earth follow different trends; for example, helium is only the third most abundant noble gas in the atmosphere. Radon was first identified in 1898 by Friedrich Ernst Dorn, and was named radium emanation, but was not considered a noble gas until 1904 when its characteristics were found to be similar to those of other noble gases. In 1916, Gilbert N. Lewis formulated the octet rule, which concluded an octet of electrons in the outer shell was the most stable arrangement for any atom; this arrangement caused them to be unreactive with other elements since they did not require any more electrons to complete their outer shell. As of 2008, endohedral complexes with helium, neon, argon, krypton, and xenon have been obtained."
"{R4K9-W1YG25EV-6643XPLD}","01/02/2010 07:41:00","JJF3233","PC-5293","C:\48LR843\SCF00Z3B.pdf","File Open","False","False","25-50-44-46-2D Abundances on Earth follow different trends; for example, helium is only the third most abundant noble gas in the atmosphere. Radon was first identified in 1898 by Friedrich Ernst Dorn, and was named radium emanation, but was not considered a noble gas until 1904 when its characteristics were found to be similar to those of other noble gases. In 1916, Gilbert N. Lewis formulated the octet rule, which concluded an octet of electrons in the outer shell was the most stable arrangement for any atom; this arrangement caused them to be unreactive with other elements since they did not require any more electrons to complete their outer shell. As of 2008, endohedral complexes with helium, neon, argon, krypton, and xenon have been obtained."
"{Y7R6-U1JM17VO-8859ISHQ}","01/02/2010 07:43:57","JJF3233","PC-5293","R:\JJF3233\MWGOGXG3.zip","File Copy","True","False","50-4B-03-04-14 In March 1945, the VNQDD received a boost, when Imperial Japan, which had occupied Vietnam since 1941, deposed the French administration, and installed the Empire of Vietnam, a puppet regime. This was also the occasion for a shift in strategy: Hoc argued for a general uprising, citing rising discontent among Vietnamese soldiers in the colonial army. The VNQDD members made several loose alliances with Hoa Hao members of the lower house. This eventually led to a Chinese government crackdown, but VNQDD members continued to train at the Yunnan Military School; some enlisted in the nationalist Chinese army while others learned to manufacture weapons and munitions in the Yunnan arsenal. The party advocated socialism, but at the outset there was considerable debate over its other fundamental objectives."
"{A6W3-F5VY93YF-0575UODP}","01/02/2010 07:44:49","JJF3233","PC-5293","C:\78Vk243\E8EH5O2E.txt","File Open","False","False","58-39-39-43 Back at the vacation home, Carmela and Tony leave for home and Bobby sets off for Montreal, where the man he agreed to murder lives. The next day, the couples seem to make amends, but as the day progresses Tony increasingly obsesses over losing the fight to Bobby. Gregory Antonacci, who plays Phil Leotardo's advisor Butch DeConcini on the show, is now billed in the opening credits. The episode was submitted for consideration in the category of Outstanding Drama Series."
"{S1S1-E8FW02KJ-8397MVIP}","01/02/2010 07:45:30","JJF3233","PC-5293","C:\R2IEGNRG.pdf","File Open","False","False","25-50-44-46-2D This is from a drainage area of {convert|2.37|sqmi|km2} or about 7 percent of the total Fanno Creek watershed. At the Portland station, the average flow is {convert|3.26|cuft/s|m3/s|2}. From its headwaters in the Tualatin Mountains (West Hills) in southwest Portland, the creek flows generally west and south through the cities of Portland, Beaverton, Tigard and Durham, and unincorporated areas of Washington County. About 100 bird species, several kinds of mammals, and a few fish species live in the watershed. High temperatures and low dissolved oxygen concentration in the summer were evidence of eutrophication."
"{H9V8-C3BC72SI-4097NEPK}","01/02/2010 07:46:53","JJF3233","PC-5293","R:\JJF3233\MWGOGXG3.zip","File Copy","False","True","50-4B-03-04-14 In March 1945, the VNQDD received a boost, when Imperial Japan, which had occupied Vietnam since 1941, deposed the French administration, and installed the Empire of Vietnam, a puppet regime. This was also the occasion for a shift in strategy: Hoc argued for a general uprising, citing rising discontent among Vietnamese soldiers in the colonial army. The VNQDD members made several loose alliances with Hoa Hao members of the lower house. This eventually led to a Chinese government crackdown, but VNQDD members continued to train at the Yunnan Military School; some enlisted in the nationalist Chinese army while others learned to manufacture weapons and munitions in the Yunnan arsenal. The party advocated socialism, but at the outset there was considerable debate over its other fundamental objectives."
"{B0D8-Y1VQ52CZ-9934LKQJ}","01/02/2010 07:47:01","QJL0818","PC-0337","C:\238WFq8\4K0UFIP1.doc","File Open","False","False","D0-CF-11-E0-A1-B1-1A-E1 Officially released on 9 April, the stamp shows the roughly one-year-old Knut with the slogan ""Natur weltweit bewahren"" (""Preserve nature worldwide""). Until his death, Knut shared an enclosure with three female polar bears: Nancy, Katjuscha and his mother Tosca. A statement made on 22 March in relation to the necropsy reported there were ""significant changes in the brain, which may be regarded as a reason for the sudden death"". Tosca rejected her cubs for unknown reasons, abandoning them on a rock in the polar bear enclosure."
"{O8C2-K0JC14SW-2893JARY}","01/02/2010 07:47:45","JJF3233","PC-5293","R:\JJF3233\5VTGBT5X.zip","File Write","True","False","50-4B-03-04-14 The remnants of the VNQDD fled to the anti-communist south, where they remained until the Fall of Saigon in 1975 and the reunification of Vietnam under communist rule. As a part of the post-war settlement that ended the First Indochina War, Vietnam was partitioned into two zones. Between 300 and 400 of the party's approximately 1,500 members were detained in the resulting crackdown."
"{Y2P9-U0NX56LI-3252OYOT}","01/02/2010 07:48:49","JJF3233","PC-5293","R:\JJF3233\5VTGBT5X.zip","File Copy","False","True","50-4B-03-04-14 The remnants of the VNQDD fled to the anti-communist south, where they remained until the Fall of Saigon in 1975 and the reunification of Vietnam under communist rule. As a part of the post-war settlement that ended the First Indochina War, Vietnam was partitioned into two zones. Between 300 and 400 of the party's approximately 1,500 members were detained in the resulting crackdown."
"{V5V3-S3IS51QA-7964PULR}","01/02/2010 07:58:18","STH2849","PC-2145","R:\62c4xX4\55DE6OC1.pdf","File Delete","False","True","25-50-44-46-2D Up to the mid-20th century, the mortality rate was around 60-70%, but this has greatly reduced with advances in medical care. Introduced oaks appear to have been the vector to Australia and South America; populations under oaks have been recorded from Melbourne and Canberra, as well as Uruguay. By the 1970s it had become clear that A. phalloides actually does occur in the United States, apparently having been introduced from Europe alongside chestnuts, with populations on the West and East Coasts."
"{P8P7-F9ZX96PU-0394DOVD}","01/02/2010 08:00:24","UWC1584","PC-3101","R:\88x4Sg4\5F9FZXU7.doc","File Delete","False","True","D0-CF-11-E0-A1-B1-1A-E1 In aqueous solution, it has a pKa value of 4.75. The dimers can also be detected in the vapour at {convert|120|C|F}. In the 8th century, Jabir Ibn Hayyan (Geber) was the first to concentrate acetic acid from vinegar through distillation. Acetic acid (systematically named Ethanoic acid) is an organic compound with the chemical formula CH3CO2H (also written as CH3COOH)."
"{K7L2-Q8BM16YL-3406ICKL}","01/02/2010 08:03:11","ORL3995","PC-6988","R:\799Tc39\TLSQVVF2.pdf","File Delete","False","True","25-50-44-46-2D There were further changes to Harrison's second design, as not only had inflation between 1937 and 1949 reduced the value of Nuffield's original donation, but additional savings had to be made in the difficult post-war economic situation. He thought that the enclosed layout of the college was ""a principal attraction"", but wrote that the tower's ""palpably utilitarian function detracts from its aesthetic attraction"", even though it made the ""emphatic addition"" to the skyline of Oxford that Nuffield wanted. Reaction to the architecture of the college has been largely unfavourable. The roofs are finished with Collyweston slates from Northamptonshire."
