"id","date","user","pc","activity"
"{E4E0-E6ME15OR-2988BSJL}","01/02/2010 06:21:00","NDD0597","PC-7588","Logon"
"{E3N5-D9NF71OY-8015TELH}","01/02/2010 06:22:00","JMB0141","PC-0100","Logon"
"{V5X9-F9OJ87RB-2481RLEY}","01/02/2010 06:37:00","EEC3140","PC-8416","Logon"
"{P6E0-B1AN30BI-3688NCXJ}","01/02/2010 06:39:00","HFB0003","PC-0124","Logon"
"{P7Z1-O0EZ42UI-9603XJVG}","01/02/2010 06:41:00","NNW0216","PC-0052","Logon"
"{B0G3-O1LD39WZ-1754SEON}","01/02/2010 06:43:00","RTR3146","PC-1124","Logon"
"{M0K5-Q6FO28PW-9308ZRPH}","01/02/2010 06:45:00","ECK0070","PC-9955","Logon"
"{I9K5-B2ZW34GT-5238XEHQ}","01/02/2010 06:45:00","GJH3668","PC-3289","Logon"
"{Q2H8-H7DU69PC-8935XFLB}","01/02/2010 06:45:00","OCR0684","PC-5953","Logon"
"{S3L6-Y6FY72KW-9199EBRP}","01/02/2010 06:50:00","KKF0303","PC-3082","Logon"
"{M7X0-Y2QR61IP-1355YNHI}","01/02/2010 06:51:00","DGB2996","PC-8418","Logon"
"{O3K0-M8SN78LC-1892IMNH}","01/02/2010 06:51:00","TBW0692","PC-4535","Logon"
"{E7C8-X1KH27BS-4214NVCS}","01/02/2010 06:52:00","CJK0241","PC-0881","Logon"
"{C7Y6-W3AD43XW-9459NFSK}","01/02/2010 06:53:00","HMF3055","PC-2467","Logon"
"{R5O4-J0XO54HO-8776WWMH}","01/02/2010 06:53:00","KDS1750","PC-1539","Logon"
"{Q9I6-F6WZ42LI-8968XKYY}","01/02/2010 06:54:00","DPB0696","PC-8931","Logon"
"{G5X2-K6ZL01AT-6708YYYV}","01/02/2010 06:56:00","SIH1756","PC-0888","Logon"
"{F7M8-Z6NA38VH-8144AVLU}","01/02/2010 06:58:00","SBB1748","PC-3684","Logon"
"{V2P6-L1VP41JP-4979ZNWR}","01/02/2010 06:59:00","AKC0847","PC-3176","Logon"
"{S3D5-G4RZ10BK-1692YKCP}","01/02/2010 06:59:00","RTR1463","PC-8503","Logon"
"{M3V3-M7EO59EP-4010KZYZ}","01/02/2010 07:00:00","RAC2950","PC-0671","Logon"
"{U1A7-O5EA10ZH-9936ITMG}","01/02/2010 07:04:00","HES0573","PC-2512","Logon"
"{X4S1-Y5TJ64YE-2643KNYJ}","01/02/2010 07:08:00","GCM1217","PC-9728","Logon"
"{E4S3-L1LC21GS-2100NKNW}","01/02/2010 07:09:00","BEB2949","PC-1111","Logon"
"{P4S7-K0JW53YA-9654BGKI}","01/02/2010 07:11:00","CYR2947","PC-5538","Logon"
"{Q2Z4-F4KZ09OW-1154OSOM}","01/02/2010 07:16:00","JBJ2032","PC-4816","Logon"
"{Z3Z1-N7CC97HK-2670FCMM}","01/02/2010 07:16:00","JJF3233","PC-5293","Logon"
"{C8Z2-Q8YN10BC-5324VBRO}","01/02/2010 07:16:00","KJL3266","PC-6274","Logon"
"{O9G5-V7AG94LO-4513JKLO}","01/02/2010 07:18:00","HGK0782","PC-6384","Logon"
"{Y8H6-Y3MG78ZL-1129MTUS}","01/02/2010 07:18:00","MWD2703","PC-8794","Logon"
"{F6A1-L5VG90BI-6977ILGY}","01/02/2010 07:19:00","GPA1199","PC-5593","Logon"
"{P2M1-A2TG75FM-4133ZHMZ}","01/02/2010 07:20:00","DFB3257","PC-4554","Logon"
"{N5T3-O8NK45YN-1535CIHA}","01/02/2010 07:20:00","HKG1858","PC-5235","Logon"
"{P2F4-S4WF63NT-3226UDEJ}","01/02/2010 07:22:00","RRD0203","PC-5217","Logon"
"{X5Y3-P2CV64DR-6146XFFE}","01/02/2010 07:24:00","DGS0525","PC-5172","Logon"
"{A2E4-U5IU19CU-4268SBRY}","01/02/2010 07:24:00","LSB1774","PC-7072","Logon"
"{M2F3-J7VQ68JE-1621BWUB}","01/02/2010 07:25:00","FOG0204","PC-3042","Logon"
"{W7A5-L0IQ02EB-5604GSRE}","01/02/2010 07:25:00","RMH3611","PC-8071","Logon"
"{L7R7-A4JL94FI-1754ZACB}","01/02/2010 07:26:00","XCV2197","PC-7622","Logon"
"{E8M9-O5XQ28DJ-5515CRRR}","01/02/2010 07:27:00","HCR1976","PC-7964","Logon"
"{K8B1-C7IO66MM-5478OPMG}","01/02/2010 07:27:00","MCJ0755","PC-8294","Logon"
"{U4F3-S8RN89WC-9111RSBS}","01/02/2010 07:29:00","YFW0364","PC-8072","Logon"
"{Y5Z7-K5PL93VH-5005GYCU}","01/02/2010 07:30:00","JCL2626","PC-9929","Logon"
"{F4E6-X4HM93SX-8762EGBA}","01/02/2010 07:30:00","KKP1329","PC-5132","Logon"
"{O1K8-W3XW38SL-3895VAWN}","01/02/2010 07:30:00","LFR2971","PC-4611","Logon"
"{E3T8-C0HG63YF-6248ALZZ}","01/02/2010 07:30:00","MTC2073","PC-0328","Logon"
"{I2U4-K6CZ92PN-4539QUTI}","01/02/2010 07:31:00","SBD2077","PC-1627","Logon"
"{Q6Y8-O3ZL21CT-6419IBCF}","01/02/2010 07:32:00","ASF1622","PC-6097","Logon"
"{Q5Z5-F1ZH22RQ-3407FPXK}","01/02/2010 07:34:00","CGA3273","PC-9160","Logon"
"{G5N2-W1AL76XY-8548CTPW}","01/02/2010 07:34:00","ORL3995","PC-6988","Logon"
"{F2H4-P0CG58LM-5245BXGV}","01/02/2010 07:35:00","DSH0923","PC-8009","Logon"
"{X3M9-O0PJ58WQ-2587PFND}","01/02/2010 07:36:00","AJF3082","PC-9382","Logon"
"{D9B9-T0FC21GN-0584TFYW}","01/02/2010 07:36:00","PMC1675","PC-4516","Logon"
"{H7L8-J0AU68EO-5539QHDA}","01/02/2010 07:37:00","XSN2639","PC-0693","Logon"
"{F6U2-V3OE98JM-4618ZTDM}","01/02/2010 07:38:00","BCC1427","PC-3729","Logon"
"{P5V4-F8EY57YL-9009RNZI}","01/02/2010 07:38:00","MAR1422","PC-1050","Logon"
"{K0X1-P1GW06FE-0501HHFB}","01/02/2010 07:38:00","NJM2246","PC-1208","Logon"
"{C3R3-P4IU24AN-5104FJIN}","01/02/2010 07:39:00","JKH3990","PC-4939","Logon"
"{J6J6-P0KL29RZ-2012OUFD}","01/02/2010 07:39:00","MKW2105","PC-8771","Logon"
"{A7A6-J4BZ80XA-6523EYRB}","01/02/2010 07:39:00","RTP2435","PC-2362","Logon"
"{L2F4-J1HQ96LM-7616HJHO}","01/02/2010 07:39:00","WMM1386","PC-1405","Logon"
"{J4T9-T1HF79JH-3089QYTU}","01/02/2010 07:39:40","HFB0003","PC-7219","Logon"
"{Y3H4-B6MG97MV-6311TFNN}","01/02/2010 07:40:00","AMC3071","PC-0993","Logon"
"{C7C4-H0RQ50NY-6009HPJZ}","01/02/2010 07:40:00","HDP2645","PC-9155","Logon"
"{J3E0-I7YV03NV-5276EKFD}","01/02/2010 07:40:00","KCR0558","PC-5090","Logon"
"{Z2C2-A5AJ14FL-7408GBDI}","01/02/2010 07:40:00","NAM1506","PC-6172","Logon"
"{W7E8-A9LK99GY-6288IFFM}","01/02/2010 07:40:00","VIW2578","PC-4657","Logon"
"{U8Z3-J0PJ09RK-8181CLOM}","01/02/2010 07:41:00","DIE1614","PC-1213","Logon"
"{A3D1-X5HE04AB-4542QZHS}","01/02/2010 07:41:00","GJC1333","PC-1553","Logon"
"{C7Z6-A9DF61GU-2998TWDK}","01/02/2010 07:41:00","IJO2659","PC-9331","Logon"
"{E9X2-C6EJ35MI-5826MBVG}","01/02/2010 07:41:00","LND1399","PC-8088","Logon"
"{A2T7-F9WN39II-1017LNPV}","01/02/2010 07:42:00","BGW0916","PC-1740","Logon"
"{K4I4-B2FM75JS-0618SQMN}","01/02/2010 07:42:00","HBN0384","PC-9145","Logon"
"{N8I9-X7ZS60MQ-0519CYET}","01/02/2010 07:42:00","STH2849","PC-2145","Logon"
"{F3M3-Y7GW04PZ-2219SJNE}","01/02/2010 07:42:00","TDC2670","PC-5264","Logon"
"{Z5H5-O8GP37CW-0041AADP}","01/02/2010 07:43:00","NKM2646","PC-5550","Logon"
"{U9R7-U9TR29WS-9306FCYM}","01/02/2010 07:43:00","RSB1940","PC-2297","Logon"
"{U6X2-W3RE63DP-6891CBSC}","01/02/2010 07:43:00","SCF2666","PC-3577","Logon"
"{U9S6-D3UI42YA-4127APYT}","01/02/2010 07:44:00","JJH1334","PC-3020","Logon"
"{J8L8-U7AK29GW-9181NFXA}","01/02/2010 07:45:00","BHH2751","PC-0618","Logon"
"{T6Y9-V0IF60NU-2511SOSZ}","01/02/2010 07:45:00","CHA3575","PC-3992","Logon"
"{A2C1-C0JB76DU-9070NUUX}","01/02/2010 07:45:00","PRW1467","PC-1163","Logon"
"{P5H5-L1PL98YI-4428WPEI}","01/02/2010 07:45:00","QJL0818","PC-0337","Logon"
"{V1Q9-V3LW31AD-2030NEAQ}","01/02/2010 07:46:00","JUC0510","PC-4040","Logon"
"{N9D8-V0PS37FZ-1740HITJ}","01/02/2010 07:46:00","MUH3313","PC-5147","Logon"
"{N8X4-F8AF98UC-2193FTRY}","01/02/2010 07:47:00","CTH1005","PC-6458","Logon"
"{J8I3-V2RR10CH-7460VCYW}","01/02/2010 07:47:00","ECH3561","PC-3694","Logon"
"{H5Y0-Y9GP68HN-6529DKCP}","01/02/2010 07:47:00","FOH3956","PC-3544","Logon"
"{B5E8-A5XR28ZT-0076VKSK}","01/02/2010 07:49:00","BVM3737","PC-4283","Logon"
"{H5G3-E2WQ73GK-6903OJZK}","01/02/2010 07:49:00","CAH0440","PC-7210","Logon"
"{R6L4-H9RO90PG-1939VIFV}","01/02/2010 07:49:00","VDD1357","PC-8505","Logon"
"{L4O0-R8NF47GR-1004HPFO}","01/02/2010 07:50:00","CTL1598","PC-7376","Logon"
"{C0U6-J4MD49OQ-3105HTFW}","01/02/2010 07:50:00","JPM0438","PC-0813","Logon"
"{B7L2-J4QV62MP-3142JAWX}","01/02/2010 07:50:00","RBS0367","PC-0558","Logon"
"{V4J1-L3IO76NS-0314NZSN}","01/02/2010 07:50:00","TOB1284","PC-8139","Logon"
"{U8B9-S8BR95VK-9404BHDP}","01/02/2010 07:51:00","JDA2296","PC-2204","Logon"
"{X5K9-D1WY60CJ-3315YKVY}","01/02/2010 07:52:00","CKH2321","PC-9673","Logon"
"{Q2Q2-I3RL56NV-7514FQHO}","01/02/2010 07:53:00","RFC2472","PC-6013","Logon"
"{R4B3-S2QI78WD-0884CINY}","01/02/2010 07:53:00","RJG3314","PC-4882","Logon"
"{P5R6-G8KK54FL-6675TSUB}","01/02/2010 07:54:00","KAR1594","PC-1773","Logon"
"{W2M8-B2WA28UN-8392MEAH}","01/02/2010 07:54:00","PWE1562","PC-5650","Logon"
"{U8Y0-D0GE11UX-5217PZLC}","01/02/2010 07:54:00","RGB1235","PC-0496","Logon"
"{O3R7-C8WF14JW-5996PLKA}","01/02/2010 07:54:00","TMN2607","PC-1840","Logon"
"{Z6E2-A9AQ19LI-4151WWFV}","01/02/2010 07:55:00","CWG3213","PC-3912","Logon"
"{R7K6-E3DF65LV-7726HLQA}","01/02/2010 07:55:00","SWR1313","PC-0517","Logon"
"{B0U5-Y4NG96AK-3812TDGD}","01/02/2010 07:56:00","HCB3101","PC-4319","Logon"
"{F9W3-H6FF38UP-1802YCXG}","01/02/2010 07:56:00","IML0430","PC-5547","Logon"
"{R9I4-B0YE61MP-0697GQWM}","01/02/2010 07:56:00","SGG0648","PC-8293","Logon"
"{L3C3-P2HD38RB-4812JYGL}","01/02/2010 07:57:00","CCB3358","PC-1549","Logon"
"{L2Z7-T7QG39JT-9990UDNV}","01/02/2010 07:57:00","ERW2323","PC-9338","Logon"
"{Y4J3-G8IN56UE-7613ZUYN}","01/02/2010 07:57:00","KKB2602","PC-1979","Logon"
"{Q0J7-L4LY42LO-7557QEIP}","01/02/2010 07:57:00","TBC1006","PC-0756","Logon"
"{W0V6-V6NN06MG-0401DMON}","01/02/2010 07:57:00","UWC1584","PC-3101","Logon"
"{Z5A3-K7JX80OM-2961IAHE}","01/02/2010 07:58:00","AYA0285","PC-5225","Logon"
"{T0X7-A4LS40KH-0221LAQT}","01/02/2010 07:59:00","APM1561","PC-2650","Logon"
"{M9P5-B9XH11NJ-6415MBPE}","01/02/2010 07:59:00","DTR1323","PC-4277","Logon"
"{J6U5-I7OC45CO-5617RXAW}","01/02/2010 08:00:00","ALB3119","PC-0506","Logon"
"{M9X4-A2VY89IQ-9221NAGX}","01/02/2010 08:00:00","HEP3784","PC-8147","Logon"
"{D3Y1-K7ZV29KQ-8901EQWP}","01/02/2010 08:00:00","KDH1302","PC-9081","Logon"
"{H0X1-O6GU94BK-9478UZEN}","01/02/2010 08:00:00","MDW0345","PC-3171","Logon"
"{D1H5-Z6XO71NW-4574AGXV}","01/02/2010 08:00:00","RHS2539","PC-4484","Logon"
"{C7K2-C3XT07KK-4747UWJD}","01/02/2010 08:01:00","BZD3640","PC-3239","Logon"
"{Z8X4-G1AR84VN-6727ZMML}","01/02/2010 08:01:00","CHS2823","PC-2766","Logon"
"{Y7W1-S1JS96TY-4201GUUA}","01/02/2010 08:02:50","XCV2197","PC-2534","Logon"
"{H4O0-M7GP19AA-9213DUHG}","01/02/2010 08:03:00","BLF0313","PC-7752","Logon"
"{D7S5-V4TB98GT-8627FZRS}","01/02/2010 08:03:00","NLP0314","PC-2101","Logon"
"{F7V2-J8OE74AQ-5814MZEN}","01/02/2010 08:04:00","CIB1224","PC-1390","Logon"
"{U7B5-E5LD95DX-1372INQN}","01/02/2010 08:04:00","GCB0888","PC-3205","Logon"
"{S3K2-M4OV77OZ-7849UUNP}","01/02/2010 08:04:00","GSR0629","PC-9900","Logon"
"{M6X8-H8AZ40QB-0115JCYK}","01/02/2010 08:04:00","NAB2810","PC-7424","Logon"
"{A2K5-C8NJ67TC-0906WAZI}","01/02/2010 08:05:00","ACO0902","PC-7684","Logon"
"{M9I0-R1ZI91LF-4249PZHP}","01/02/2010 08:05:00","GEW0899","PC-9921","Logon"
"{T5H4-Z8LQ21GP-3205DOZV}","01/02/2010 08:05:00","MJH0833","PC-4853","Logon"
